Station ID	Station Code	Station name	Region	Date	Month	Depth1	Depth2	E4/E6	HI	SR	SAR(UV)	UVABS254(filtrert+ufiltrert)	E2/E3	SAR(VIS)	Total CDOM absorbtion	UVABS410(filtrert+ufiltrert)	sUVa 254	UVABS360(filtrert)	UVABS365(filtrert+ufiltrert)	sVISa 410	Farge	S275-295
29782	NOREVEF	Vefsna	Norwegian sea	02.03.2020 10:15	3	0	0	6.498	0.708	0.828	9.161	0.05	4.937	11.628	839.273	0.005	3.561	0.011	0.01	0.33	8.944	-0.014
29782	NOREVEF	Vefsna	Norwegian sea	14.04.2020 09:00	4	0	0	9.284	0.721	0.823	8.286	0.072	4.6	12.557	1259.297	0.007	4.023	0.017	0.016	0.415	14.439	-0.014
29782	NOREVEF	Vefsna	Norwegian sea	05.05.2020 04:30	5	0	0	6.168	0.73	0.808	7.745	0.098	4.373	10.152	1750.053	0.011	4.273	0.024	0.022	0.469	20.867	-0.013
29782	NOREVEF	Vefsna	Norwegian sea	02.06.2020 10:30	6	0	0	5.543	0.725	0.818	7.734	0.067	4.404	8.918	1189.984	0.007	3.952	0.016	0.015	0.436	14.331	-0.013
29782	NOREVEF	Vefsna	Norwegian sea	06.07.2020 11:15	7	0	0	5.091	0.679	0.908	9.35	0.032	5.16	9.011	514.613	0.003	1.432	0.007	0.006	0.128	5.43	-0.016
29782	NOREVEF	Vefsna	Norwegian sea	03.08.2020 09:00	8	0	0	3.297	0.705	0.928	8.734	0.022	4.82	6.255	377.068	0.002	1.592	0.005	0.005	0.158	4.272	-0.015
29782	NOREVEF	Vefsna	Norwegian sea	07.09.2020 09:30	9	0	0	8.832	0.742	0.766	7.702	0.107	4.311	13.034	1926.87	0.012	3.338	0.027	0.025	0.367	22.732	-0.013
29782	NOREVEF	Vefsna	Norwegian sea	05.10.2020 04:15	10	0	0	4.957	0.709	0.879	8.571	0.047	4.843	9.681	795.986	0.005	3.12	0.011	0.01	0.308	8.932	-0.015
29782	NOREVEF	Vefsna	Norwegian sea	02.11.2020 10:50	11	0	0	7.008	0.733	0.783	7.67	0.069	4.357	10.535	1227.528	0.008	4.283	0.017	0.016	0.476	14.749	-0.013
29782	NOREVEF	Vefsna	Norwegian sea	07.12.2020 10:30	12	0	0	8.308	0.712	0.815	8.744	0.053	4.783	12.184	909.967	0.005	3.805	0.012	0.011	0.368	9.973	-0.014
29783	ROGEORR	Orreelva	North sea	06.01.2020 13:00	1	0	0	8.083	0.692	0.82	9.826	0.192	5.252	12.911	3126.118	0.016	2.993	0.04	0.036	0.256	31.707	-0.015
29783	ROGEORR	Orreelva	North sea	04.02.2020 10:25	2	0	0	27.289	0.695	0.765	10.112	0.189	5.283	22.035	3094.248	0.016	3.788	0.039	0.036	0.313	30.275	-0.014
29783	ROGEORR	Orreelva	North sea	03.03.2020 08:00	3	0	0	8.101	0.7	0.771	9.6	0.189	5.107	13.85	3131.771	0.017	3.376	0.041	0.037	0.295	31.978	-0.014
29783	ROGEORR	Orreelva	North sea	14.04.2020 09:55	4	0	0	10.547	0.681	0.857	11.345	0.154	5.895	17.549	2409.319	0.011	2.414	0.029	0.026	0.177	21.962	-0.016
29783	ROGEORR	Orreelva	North sea	04.05.2020 09:17	5	0	0	13.307	0.671	0.89	12.488	0.148	6.342	18.135	2234.184	0.01	3.013	0.026	0.023	0.199	18.901	-0.017
29783	ROGEORR	Orreelva	North sea	02.06.2020 10:00	6	0	0	6.98	0.657	1.001	12.648	0.151	6.678	12.586	2227.458	0.01	2.151	0.025	0.023	0.142	19.269	-0.018
29783	ROGEORR	Orreelva	North sea	06.07.2020 09:10	7	0	0	16.582	0.655	0.956	13.326	0.158	6.758	25.425	2320.885	0.01	1.68	0.026	0.023	0.104	18.874	-0.018
29783	ROGEORR	Orreelva	North sea	03.08.2020 08:45	8	0	0	10.216	0.667	0.923	11.802	0.165	6.133	16.742	2520.217	0.012	2.465	0.029	0.027	0.174	22.597	-0.017
29783	ROGEORR	Orreelva	North sea	07.09.2020 09:00	9	0	0	15.684	0.658	0.941	13.041	0.149	6.622	27.946	2215.908	0.009	1.779	0.025	0.023	0.113	18.309	-0.018
29783	ROGEORR	Orreelva	North sea	05.10.2020 07:10	10	0	0	7.732	0.691	0.91	11.322	0.168	5.942	14.272	2622.602	0.012	2.178	0.031	0.028	0.162	24.087	-0.017
29783	ROGEORR	Orreelva	North sea	02.11.2020 10:55	11	0	0	9.748	0.686	0.847	10.45	0.18	5.535	14.47	2872.074	0.014	2.566	0.035	0.032	0.206	27.956	-0.015
29783	ROGEORR	Orreelva	North sea	07.12.2020 10:30	12	0	0	10.94	0.702	0.765	9.568	0.221	5.063	15.329	3669.952	0.019	3.197	0.048	0.044	0.282	37.597	-0.014
29819	FINEPAS	Pasvikelva	Barents sea	15.01.2020 10:45	1	0	0	6.628	0.673	0.914	10.617	0.09	5.652	10.811	1415.81	0.007	3.206	0.017	0.016	0.252	13.68	-0.016
29819	FINEPAS	Pasvikelva	Barents sea	03.02.2020 12:30	2	0	0	-2.892	0.669	0.906	12.024	0.091	6.028	-23.538	1392.076	0.006	3.123	0.016	0.015	0.213	11.966	-0.018
29819	FINEPAS	Pasvikelva	Barents sea	03.03.2020 09:30	3	0	0	6.796	0.671	0.957	11.018	0.093	5.786	10.692	1449.035	0.007	3.307	0.017	0.016	0.254	13.777	-0.017
29819	FINEPAS	Pasvikelva	Barents sea	13.04.2020 14:30	4	0	0	6.082	0.674	0.976	10.364	0.088	5.588	8.96	1389.811	0.007	3.131	0.017	0.016	0.257	13.909	-0.017
29819	FINEPAS	Pasvikelva	Barents sea	03.05.2020 17:00	5	0	0	4.076	0.681	0.984	9.921	0.086	5.449	7.746	1382.504	0.007	1.998	0.017	0.016	0.171	14.265	-0.017
29819	FINEPAS	Pasvikelva	Barents sea	01.06.2020 14:15	6	0	0	6.441	0.704	0.863	8.511	0.154	4.725	10.067	2634.408	0.015	2.913	0.035	0.033	0.291	29.849	-0.014
29819	FINEPAS	Pasvikelva	Barents sea	06.07.2020 08:30	7	0	0	7.863	0.697	0.888	9.193	0.145	5.035	11.307	2414.055	0.013	3.45	0.031	0.029	0.317	25.759	-0.015
29819	FINEPAS	Pasvikelva	Barents sea	10.08.2020 08:00	8	0	0	6.922	0.688	0.91	9.993	0.119	5.342	12.126	1928.504	0.01	3.051	0.024	0.022	0.257	19.42	-0.016
29819	FINEPAS	Pasvikelva	Barents sea	07.09.2020 14:45	9	0	0	8.087	0.683	0.93	10.435	0.108	5.547	12.2	1729.333	0.009	2.925	0.021	0.02	0.237	16.966	-0.017
29819	FINEPAS	Pasvikelva	Barents sea	05.10.2020 11:50	10	0	0	5.962	0.684	0.932	10.086	0.111	5.447	10.503	1782.808	0.009	3.259	0.022	0.02	0.275	18.061	-0.016
29819	FINEPAS	Pasvikelva	Barents sea	01.11.2020 11:00	11	0	0	6.861	0.693	0.902	9.636	0.122	5.25	10.388	2005.107	0.011	3.495	0.025	0.023	0.307	20.797	-0.016
29819	FINEPAS	Pasvikelva	Barents sea	06.12.2020 11:00	12	0	0	6.554	0.685	0.903	10.16	0.113	5.435	11.985	1824.879	0.009	3.331	0.023	0.021	0.272	17.926	-0.016
29820	FINETAN	Tanaelva	Barents sea	06.01.2020 10:00	1	0	0	5.194	0.707	0.785	9.268	0.065	4.896	8.102	1096.433	0.006	3.825	0.015	0.013	0.341	11.231	-0.014
29820	FINETAN	Tanaelva	Barents sea	04.02.2020 10:00	2	0	0	-2.177	0.702	0.739	10.076	0.058	5.061	-13.744	969.581	0.005	3.438	0.013	0.012	0.282	9.273	-0.014
29820	FINETAN	Tanaelva	Barents sea	09.03.2020 11:00	3	0	0	10.317	0.709	0.812	9.675	0.058	5.081	14.675	974.588	0.005	3.079	0.013	0.012	0.268	9.857	-0.015
29820	FINETAN	Tanaelva	Barents sea	14.04.2020 09:00	4	0	0	7.411	0.707	0.809	8.863	0.051	4.771	11.096	873.623	0.005	3.667	0.012	0.011	0.351	9.501	-0.014
29820	FINETAN	Tanaelva	Barents sea	04.05.2020 11:00	5	0	0	3.773	0.71	0.927	9.516	0.032	5.188	7.142	536.349	0.003	2.321	0.007	0.006	0.206	5.592	-0.016
29820	FINETAN	Tanaelva	Barents sea	02.06.2020 17:30	6	0	0	7.001	0.726	0.768	7.715	0.256	4.311	10.872	4575.113	0.028	3.659	0.064	0.059	0.403	54.54	-0.013
29820	FINETAN	Tanaelva	Barents sea	10.06.2020 09:00	6	0	0	7.874	0.726	0.771	7.604	0.211	4.266	10.817	3786.231	0.024	3.7	0.054	0.049	0.413	45.562	-0.013
29820	FINETAN	Tanaelva	Barents sea	24.06.2020 10:00	6	0	0	8.312	0.711	0.821	8.169	0.113	4.538	11.166	1971.939	0.012	3.152	0.027	0.025	0.326	22.736	-0.014
29820	FINETAN	Tanaelva	Barents sea	10.08.2020 13:00	8	0	0	10.59	0.702	0.836	9.317	0.105	4.966	17.242	1758.761	0.009	3.283	0.023	0.021	0.296	18.34	-0.015
29820	FINETAN	Tanaelva	Barents sea	07.09.2020 11:30	9	0	0	7.81	0.704	0.829	9.138	0.11	4.902	12.232	1849.105	0.01	3.326	0.024	0.022	0.308	19.644	-0.015
29820	FINETAN	Tanaelva	Barents sea	05.10.2020 13:00	10	0	0	9.43	0.706	0.82	9.068	0.096	4.897	13.751	1620.254	0.009	3.2	0.021	0.02	0.298	17.291	-0.014
29820	FINETAN	Tanaelva	Barents sea	02.11.2020 15:00	11	0	0	7.837	0.709	0.793	9.048	0.092	4.831	13.036	1566.656	0.009	3.843	0.021	0.019	0.357	16.598	-0.014
29820	FINETAN	Tanaelva	Barents sea	08.12.2020 11:00	12	0	0	8.189	0.717	0.754	8.425	0.099	4.593	12.506	1731.423	0.01	3.684	0.024	0.022	0.365	19.044	-0.013
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	06.01.2020 12:50	1	0	0	5.196	0.723	0.785	7.965	0.061	4.458	9.198	1081.724	0.007	4.375	0.015	0.014	0.465	12.589	-0.013
29821	HOREVOS	Vosso (Bolstadelvi)	North sea	03.02.2020 13:50	2	0	0	-44.696	0.716	0.732	8.752	0.053	4.706	34.954	917.858	0.005	4.094	0.012	0.011	0.392	9.853	-0.013
